no,ci_rotsf.,ci_rsf.,ci_cox.,ci_gbm
101,0.760617761,0.776061776,0.723938224,0.725338491
102,0.853293413,0.871257485,0.847305389,0.817365269
103,0.830313015,0.817133443,0.787479407,0.815485997
104,0.819714656,0.805447471,0.826199741,0.768831169
105,0.801298701,0.816883117,0.796103896,0.787012987
106,0.848120301,0.858646617,0.82406015,0.848120301
107,0.775577558,0.763476348,0.764576458,0.741474147
108,0.838235294,0.818627451,0.849673203,0.798690671
109,0.81956798,0.823379924,0.81321474,0.808132147
110,0.839838493,0.843876178,0.835800808,0.861372813
111,0.810062893,0.811320755,0.836477987,0.758490566
112,0.925655977,0.912536443,0.912536443,0.887755102
113,0.834733894,0.840336134,0.847338936,0.823529412
114,0.883241758,0.89010989,0.85989011,0.839285714
115,0.842751843,0.832923833,0.829238329,0.810810811
116,0.870794078,0.861372813,0.881561238,0.823687752
117,0.882694541,0.879210221,0.87456446,0.889663182
118,0.909774436,0.904761905,0.877192982,0.903508772
119,0.868146214,0.855091384,0.81462141,0.847258486
120,0.885976409,0.885976409,0.916120577,0.897771953
121,0.831091181,0.849028401,0.816143498,0.836826347
122,0.833860759,0.835443038,0.791139241,0.833860759
123,0.809015421,0.798339265,0.829181495,0.819691578
124,0.909495549,0.894658754,0.878338279,0.899109792
125,0.837868481,0.836734694,0.850340136,0.832199546
126,0.830907055,0.819708847,0.802911534,0.786995516
127,0.857651246,0.871886121,0.835112693,0.830367734
128,0.866587957,0.853600945,0.858323495,0.864226682
129,0.843930636,0.858381503,0.833815029,0.799132948
130,0.931129477,0.906336088,0.863636364,0.888429752
131,0.897894737,0.885263158,0.875789474,0.858947368
132,0.937414966,0.904761905,0.889795918,0.919727891
133,0.827645051,0.83105802,0.802047782,0.822525597
134,0.827205882,0.818627451,0.803921569,0.81127451
135,0.839848676,0.851197982,0.843631778,0.84741488
136,0.863363363,0.815315315,0.81981982,0.848348348
137,0.881395349,0.890697674,0.879069767,0.873255814
138,0.852554745,0.856934307,0.872992701,0.811678832
139,0.871621622,0.862162162,0.85,0.871621622
140,0.825561313,0.84283247,0.856649396,0.759930915
141,0.828358209,0.827114428,0.814676617,0.797263682
142,0.794041451,0.795336788,0.783678756,0.800518135
143,0.852140078,0.870298314,0.862516213,0.852140078
144,0.894871795,0.871794872,0.848717949,0.866666667
145,0.813099042,0.817891374,0.787539936,0.7888
146,0.881437126,0.900598802,0.893413174,0.853892216
147,0.798726115,0.779617834,0.805095541,0.792356688
148,0.818877551,0.838010204,0.798469388,0.790816327
149,0.85125,0.865,0.84625,0.82875
150,0.746478873,0.76184379,0.777208707,0.747759283
151,0.831339713,0.784688995,0.806220096,0.830143541
152,0.857777778,0.865185185,0.820740741,0.81037037
153,0.844903988,0.847858198,0.837518464,0.837518464
154,0.827541828,0.833976834,0.827541828,0.788931789
155,0.875518672,0.87966805,0.860304288,0.837725381
156,0.860072376,0.84318456,0.873341375,0.805790109
157,0.852803738,0.843457944,0.846962617,0.852631579
158,0.860169492,0.850282486,0.858757062,0.858757062
159,0.789954338,0.823439878,0.779299848,0.792998478
160,0.79216152,0.762470309,0.764845606,0.77672209
161,0.851351351,0.841216216,0.787162162,0.820945946
162,0.872282609,0.872282609,0.828804348,0.866847826
163,0.848816029,0.846994536,0.823315118,0.832422587
164,0.839607201,0.854337152,0.872340426,0.821311475
165,0.836408364,0.856088561,0.777367774,0.792127921
166,0.796153846,0.805128205,0.803846154,0.770218228
167,0.818390805,0.848275862,0.842528736,0.796551724
168,0.851251841,0.848306333,0.852724595,0.837997054
169,0.774886878,0.764705882,0.773755656,0.733031674
170,0.857647059,0.844705882,0.838823529,0.845882353
171,0.883084577,0.861940299,0.868159204,0.85199005
172,0.8,0.794011976,0.777245509,0.77005988
173,0.827667057,0.837045721,0.803048066,0.834701055
174,0.858747994,0.813804173,0.839486356,0.81540931
175,0.827995255,0.816132859,0.787663108,0.810201661
176,0.881048387,0.899193548,0.879032258,0.854545455
177,0.8203125,0.8015625,0.74375,0.8109375
178,0.80523918,0.807517084,0.813211845,0.817767654
179,0.819148936,0.802431611,0.814589666,0.835866261
180,0.88162345,0.878241263,0.856820744,0.851183766
181,0.793433653,0.787961696,0.786593707,0.781121751
182,0.855227882,0.857908847,0.844504021,0.829758713
